timestamp,atm_id,amount
2021-04-01 00:22:27,00714,540.00
2021-04-01 00:28:52,01106,1350.00
2021-04-01 00:52:21,01624,860.00
2021-04-01 01:07:05,00236,1590.00
2021-04-01 01:15:05,02286,1060.00
2021-04-01 01:42:57,00014,1430.00
2021-04-01 02:12:02,00236,1130.00
2021-04-01 02:31:24,00046,490.00
2021-04-01 02:38:32,00430,1700.00
2021-04-01 02:48:21,00114,200.00
2021-04-01 03:15:08,01624,1320.00
2021-04-01 03:35:33,00714,120.00
2021-04-01 03:43:20,00236,320.00
2021-04-01 04:06:14,01106,1520.00
2021-04-01 04:17:08,00430,1710.00
2021-04-01 04:40:48,00114,1560.00
2021-04-01 04:53:41,00714,940.00
2021-04-01 05:14:25,02286,500.00
2021-04-01 05:31:16,00236,1390.00
2021-04-01 05:44:21,00114,1470.00
2021-04-01 06:10:37,02286,770.00
2021-04-01 06:20:03,00236,1980.00
2021-04-01 06:44:08,00714,360.00
2021-04-01 06:56:08,00046,790.00
2021-04-01 07:24:23,00046,1930.00
2021-04-01 07:52:53,00014,340.00
2021-04-01 08:16:38,00236,990.00
2021-04-01 08:40:35,01106,1110.00
2021-04-01 08:47:52,00014,1040.00
2021-04-01 08:51:32,00114,1550.00
2021-04-01 09:09:06,00236,1130.00
2021-04-01 09:17:14,00046,1010.00
2021-04-01 09:31:26,01624,340.00
2021-04-01 09:44:26,00236,1650.00
2021-04-01 09:48:15,00714,1610.00
2021-04-01 10:05:55,00114,320.00
2021-04-01 10:28:06,01624,1570.00
2021-04-01 10:48:38,01624,710.00
2021-04-01 11:04:59,01624,80.00
2021-04-01 11:33:54,03110,1100.00
2021-04-01 11:39:02,03110,640.00
2021-04-01 11:55:23,00236,360.00
2021-04-01 12:05:40,03110,430.00
2021-04-01 12:12:51,00046,1400.00
2021-04-01 12:35:31,01106,1600.00
2021-04-01 12:45:04,00430,1330.00
2021-04-01 12:53:12,03110,570.00
2021-04-01 13:22:24,00714,360.00
2021-04-01 13:42:14,00714,1720.00
2021-04-01 14:11:50,00114,220.00
2021-04-01 14:38:57,00236,1430.00
2021-04-01 14:42:47,02286,180.00
2021-04-01 15:06:10,01624,600.00
2021-04-01 15:29:39,00046,690.00
2021-04-01 15:57:15,00430,410.00
2021-04-01 16:19:13,01624,500.00
2021-04-01 16:45:47,00014,160.00
2021-04-01 17:15:08,02286,390.00
2021-04-01 17:34:32,01106,730.00
2021-04-01 17:46:44,00014,1290.00
2021-04-01 18:04:05,00046,190.00
2021-04-01 18:17:53,00236,1130.00
2021-04-01 18:38:43,00046,1550.00
2021-04-01 18:40:58,00714,210.00
2021-04-01 18:44:58,00430,480.00
2021-04-01 19:12:27,00714,1000.00
2021-04-01 19:24:15,00014,430.00
2021-04-01 19:41:13,02286,310.00
2021-04-01 19:56:08,00046,1230.00
2021-04-01 20:00:44,02286,1000.00
2021-04-01 20:10:34,02286,1650.00
2021-04-01 20:11:05,00236,1600.00
2021-04-01 20:38:42,00714,350.00
2021-04-01 20:42:36,03110,40.00
2021-04-01 20:56:03,00014,1410.00
2021-04-01 21:02:21,00430,1510.00
2021-04-01 21:06:35,00046,1340.00
2021-04-01 21:30:17,02286,1150.00
2021-04-01 21:34:47,03110,1350.00
2021-04-01 22:03:53,00014,450.00
2021-04-01 22:22:03,00114,1310.00
2021-04-01 22:42:19,00114,760.00
2021-04-01 22:48:10,01106,90.00
2021-04-01 23:12:12,00014,120.00
2021-04-01 23:40:56,01106,340.00
2021-04-01 23:58:46,01624,1760.00
2021-04-02 00:16:03,00714,1430.00
2021-04-02 00:38:38,00430,490.00
2021-04-02 01:05:13,00046,1580.00
2021-04-02 01:15:15,00236,1570.00
2021-04-02 01:22:27,00714,750.00
2021-04-02 01:32:42,03110,910.00
2021-04-02 01:47:43,00114,2000.00
2021-04-02 02:03:21,00046,590.00
2021-04-02 02:05:55,00114,770.00
2021-04-02 02:06:17,02286,660.00
2021-04-02 02:23:33,00714,720.00
2021-04-02 02:30:53,00714,1180.00
2021-04-02 02:55:27,00714,1390.00
2021-04-02 03:02:50,01624,1000.00
2021-04-02 03:14:12,01624,500.00
2021-04-02 03:14:17,00714,550.00
2021-04-02 03:15:29,02286,320.00
2021-04-02 03:42:54,00236,740.00
2021-04-02 03:51:54,02286,1890.00
2021-04-02 04:17:09,03110,1610.00
2021-04-02 04:29:38,01106,1770.00
2021-04-02 04:56:10,00714,1610.00
2021-04-02 05:01:24,00114,1020.00
2021-04-02 05:10:54,00014,650.00
2021-04-02 05:38:10,00236,850.00
2021-04-02 05:44:53,00714,1000.00
2021-04-02 05:45:16,00430,70.00
2021-04-02 05:46:22,02286,820.00
2021-04-02 06:10:33,01106,510.00
2021-04-02 06:26:40,00114,1870.00
2021-04-02 06:51:49,00046,1940.00
2021-04-02 06:55:16,02286,1220.00
2021-04-02 07:17:32,00236,910.00
2021-04-02 07:21:35,00714,490.00
2021-04-02 07:35:33,00114,1300.00
2021-04-02 07:59:31,00236,740.00
2021-04-02 08:28:52,00014,990.00
2021-04-02 08:51:23,01106,240.00
2021-04-02 09:01:38,02286,940.00
2021-04-02 09:29:15,01106,460.00
2021-04-02 09:58:22,03110,1570.00
2021-04-02 10:12:09,00114,630.00
2021-04-02 10:13:25,01106,250.00
2021-04-02 10:30:49,01624,1330.00
2021-04-02 10:50:08,00046,1860.00
2021-04-02 11:00:00,01106,1580.00
2021-04-02 11:17:49,02286,1490.00
2021-04-02 11:37:11,00236,190.00
2021-04-02 12:03:04,00046,1430.00
2021-04-02 12:04:23,00236,1520.00
2021-04-02 12:21:53,00014,90.00
2021-04-02 12:29:20,00714,1560.00
2021-04-02 12:38:04,01624,920.00
2021-04-02 12:51:42,00014,670.00
2021-04-02 13:18:53,01106,1170.00
2021-04-02 13:31:35,00014,910.00
2021-04-02 13:38:20,00236,1550.00
2021-04-02 13:54:08,00114,780.00
2021-04-02 13:57:32,01106,1000.00
2021-04-02 14:11:20,03110,770.00
2021-04-02 14:40:57,01106,1240.00
2021-04-02 15:01:04,00114,1030.00
2021-04-02 15:16:27,01624,1190.00
2021-04-02 15:25:52,00714,1050.00
2021-04-02 15:31:07,00236,720.00
2021-04-02 15:54:58,03110,1390.00
2021-04-02 16:13:01,01106,330.00
2021-04-02 16:32:26,02286,500.00
2021-04-02 16:44:08,00430,1200.00
2021-04-02 17:05:40,00714,870.00
2021-04-02 17:33:21,03110,1490.00
2021-04-02 17:53:42,01106,1400.00
2021-04-02 17:55:41,00046,1680.00
2021-04-02 18:18:31,00236,1190.00
2021-04-02 18:23:16,02286,1760.00
2021-04-02 18:24:28,00430,1110.00
2021-04-02 18:44:46,00014,330.00
2021-04-02 18:58:37,03110,120.00
2021-04-02 19:02:13,02286,1950.00
2021-04-02 19:10:23,00046,720.00
2021-04-02 19:37:33,00114,1810.00
2021-04-02 19:46:58,00046,1610.00
2021-04-02 19:56:12,00014,1380.00
2021-04-02 20:08:28,01624,310.00
2021-04-02 20:18:36,02286,1600.00
2021-04-02 20:30:38,01106,1170.00
2021-04-02 20:57:12,01624,940.00
2021-04-02 21:08:05,00046,520.00
2021-04-02 21:33:09,00714,1810.00
2021-04-02 21:50:05,00430,1240.00
2021-04-02 21:57:11,00014,1150.00
2021-04-02 22:10:32,00114,950.00
2021-04-02 22:12:19,00046,1280.00
2021-04-02 22:27:05,00714,500.00
2021-04-02 22:49:44,00430,900.00
2021-04-02 23:02:21,00114,1900.00
2021-04-02 23:17:57,02286,910.00
2021-04-02 23:40:23,00714,850.00
2021-04-02 23:45:02,00714,580.00
2021-04-03 00:13:47,00714,170.00
2021-04-03 00:17:46,00714,1600.00
2021-04-03 00:26:06,00430,700.00
2021-04-03 00:37:38,00236,1000.00
2021-04-03 00:43:02,01624,1590.00
2021-04-03 00:58:22,03110,1280.00
2021-04-03 01:10:09,03110,500.00
2021-04-03 01:15:19,03110,100.00
2021-04-03 01:24:51,00714,310.00
2021-04-03 01:28:12,00236,670.00
2021-04-03 01:45:08,01624,1070.00
2021-04-03 01:55:31,00430,1700.00
2021-04-03 01:59:18,01624,960.00
2021-04-03 02:27:20,02286,870.00
2021-04-03 02:46:03,00046,200.00
2021-04-03 02:55:53,00014,10.00
2021-04-03 03:20:13,03110,500.00
2021-04-03 03:40:16,00714,1800.00
2021-04-03 03:44:08,00046,1260.00
2021-04-03 04:02:41,00714,200.00
2021-04-03 04:23:56,00236,180.00
2021-04-03 04:25:59,01624,600.00
2021-04-03 04:47:15,00430,1930.00
2021-04-03 05:07:26,03110,1470.00
2021-04-03 05:32:49,00236,640.00
2021-04-03 05:58:34,00046,1580.00
2021-04-03 06:04:27,00430,1300.00
2021-04-03 06:13:16,03110,630.00
2021-04-03 06:38:04,01624,310.00
2021-04-03 06:57:44,03110,130.00
2021-04-03 07:04:09,00046,1440.00
2021-04-03 07:20:34,01106,350.00
2021-04-03 07:25:45,00430,1390.00
2021-04-03 07:33:04,01106,30.00
2021-04-03 07:53:25,00014,1320.00
2021-04-03 08:01:39,00114,980.00
2021-04-03 08:13:30,00714,510.00
2021-04-03 08:14:08,03110,960.00
2021-04-03 08:25:38,03110,530.00
2021-04-03 08:38:57,00046,1420.00
2021-04-03 08:55:35,00714,1010.00
2021-04-03 09:13:30,00046,960.00
2021-04-03 09:25:42,00014,1330.00
2021-04-03 09:54:48,03110,1570.00
2021-04-03 09:55:51,00236,110.00
2021-04-03 10:06:06,00236,190.00
2021-04-03 10:24:13,00714,1370.00
2021-04-03 10:27:36,00236,830.00
2021-04-03 10:44:13,01624,1750.00
2021-04-03 10:47:56,00236,1140.00
2021-04-03 11:13:36,00014,1460.00
2021-04-03 11:21:48,00014,50.00
2021-04-03 11:27:35,00114,1770.00
2021-04-03 11:46:33,01624,770.00
2021-04-03 11:48:25,02286,540.00
2021-04-03 12:12:01,00046,1220.00
2021-04-03 12:23:09,00014,1420.00
2021-04-03 12:35:52,01624,1160.00
2021-04-03 12:38:23,00014,1870.00
